# file data: 'data/models/exp_poly_19.dat'
# model type: exp_poly
# model order: 19
# model domain: [+1.40000000e+02, +2.80000000e+02]
0         -4.04744767e+00
1         +1.53945931e+00
2         -5.05255726e+00
3         +3.01774203e+00
4         -8.22890875e+00
5         -3.78035352e+01
6         +6.48224488e+01
7         +2.08047825e+02
8         -3.20220119e+02
9         -6.81604370e+02
10        +8.86507233e+02
11        +1.33376989e+03
12        -1.41508429e+03
13        -1.51370228e+03
14        +1.29711973e+03
15        +9.15669106e+02
16        -6.35285178e+02
17        -2.28242286e+02
18        +1.28529001e+02
